Id_Ubicacion;Id_Ciudad;;
C302;76;;
C315;76;;
C303;76;;
C308;76;;
C202;97;;
C351;130;;
C270;97;;
C264;14;;
C221;79;;
C311;76;;
C226;168;;
C237;27;;
C304;27;;
C309;76;;
C310;76;;
C209;27;;
C333;17;;
C266;34;;
C213;19;;
C242;76;;
C223;105;;
C241;155;;
C227;17;;
C214;21;;
C210;110;;
C211;28;;
C208;155;;
C338;76;;
C340;75;;
C217;29;;
C240;105;;
P022;107;;
P024;48;;
P020;43;;
P022;107;;
T003;137;;
C206;105;;
C231;27;;
C215;29;;
C205;27;;
C203;97;;
C239;76;;
C373;9;;
C355;13;;
C313;76;;
C216;27;;
P026;110;;
C224;27;;
C236;28;;
P023;43;;
C229;21;;
C235;35;;
C269;100;;
C268;67;;
C271;85;;
C212;6;;
C225;148;;
C232;27;;
C233;27;;
C238;27;;
C263;155;;
C228;111;;
CA5;76;;
C341;141;;
C207;97;;
C222;105;;
C262;3;;
C230;125;;
C354;76;;
C302;76;;
C314;76;;
C378;34;;
H005;149;;
C218;47;;
C265;18;;
C220;27;;
C363;76;;
C358;76;;
C375;34;;
;;;
